id,seeker_post,response_post
3784,And also getting back on top of my school work again my athletics too.,How confident are you that you could actually change your drinking or-or even cut down or quit?
3785,So I feel that there-there's a future in that.,O-on a scale of 1 to 10 where one is not at all 10 is completely what number would you give.
3786,"I'm pretty confident, especially.",Okay.
3787,Probably like an 8 or 9.,Why did you say eight or nine rather than six or seven?
3788,And that can't be a ten there's nothing as ten in life I feel. Like there's too many factors but I feel like I'm determined to.,Mm-hmm.
3789,Because I don't know I feel deter-determined to-to make sure this happens because I don't like how I felt after I-I betrayed my mother. I don't like remembering that the feeling of like vomiting.,"All right, what do you think's a realistic goal for you then?"
3790,"It's not a pleasant experience. Uh, it's not something that I wish to enjoy. So like even if I do drink, I don't want to drink to the point where that happens, like all the fun that I have and prior to that just it's not worth-it's not worth drinking.",Mm-hmm.
3791,"To make sure I have my studies. Well first, try to get-get back my trust with mother-","So your goal is kind of to do not drink at all or if you are at a party, uh, a maximum of one at the very most."
3792,-then just focus on my studies. Then if I have time for leisure time like I'll go party with my friends and just be as a party with them doesn't mean I have to drink. And I do one cup is not going to do anything to my life either. But I'd prefer not to do that. I prefer just make sure.,"Yeah. Chris, I really appreciate you talking with me about this. I know it seems like something that's been on your mind as it is and, you know, like I said I really care about you as a student and an athlete and want what's best for you. So I'm glad we were able to talk about this. It really seems like you have a good plan going forward, you know, really striving for not drinking alcohol at all and if you find yourself in a situation where there's alcohol, making sure to have that limit of one drink maximum. It sounds like something that will work for you."
3793,Exactly. Just so I take part with the social convention but it's not. Hey guys.,It's my-- yeah it's my pleasure. It's part of my job and it's probably like this so. I'm going to hurry up and get changed for practice.
3794,And-and thank you for listening me listening to me. It means a lot to me.,"Thanks for coming in and talking with me for a couple of minutes. I understand you don't have very much time, but I really appreciate you stopping by."
3795,Hi.,"So I get the impression that there are some things that you're concerned about, but that overall, coming in here wasn't necessarily the first thing that was on your mind when you came to the hospital with your daughter. Um, so can you tell me, what was it that made it possible for you to even come in? What-what were some of the things you were thinking about?"
3796,"Well, I came today because my daughter's in the hospital as well. I think it's important to quit, but I enjoy smoking. I'm not ready to give it up right now. My life is too much in turmoil.",So the last thing you'd want is for your daughter to start smoking.
3797,"I think it's important because I've-- I feel I'm a bad role model for my children, and my daughter's turning 12, and already, some of her friends have tried smoking, so I don't want her to think it's a good thing.","Hmm. And it sounds like your smoking, setting an example, those are some things that-that you're also, uh, a bit concerned about, um, but as you said earlier, not-not really ready to put down your cigarettes immediately."
3798,"I smoked when I was young, and I certainly don't want it for her.","So Sandra, what's good about smoking? What do you like about it?"
3799,"Well, that's true. It seems so hard. I'm just not ready for this right now.",What else? Tell me what else is good about it.
3800,"It's very enjoyable, relaxing, you know, a stress reliever. When I'm at work, we all go out and smoke and chit chat and, you know, talk about things. I would hate to not smoke, really. I'd be left out.",Okay. So is there anything else that you like about it?
3801,"Hmm, I like to have a cigarette after I eat. It sort of tells my brain I'm finished, stop eating, I'm full. So it's a- it's a way to-- you know, sometimes I'll have a cigarette instead of a snack, so it's a way to control my weight.","So let me make sure that I understand all of the good things about smoking, the things that you like about it, and let me know if I've missed anything or left anything out."
3802,"Let me think. Well, I just enjoy it. I think it's, uh-- it's not good for me, I know, but I'm so used to smoking. I don't really think about quitting too much.","So it sounds like it's a way to relax. It's a way to socialize with your friends from work, and it's hard to imagine what it would be like for you at work if you couldn't go outside and smoke."
3803,Okay.,"You also mentioned that smoking is a way to manage your weight, and concern that if you were-were going to quit smoking, what that would do in terms of, um, gaining weight, and that smoking after meals is pleasurable, that it's something that would be really hard to give up."
3804,That's true. Yeah.,"I also heard that it's very much a part of your life. It's something that you've done for a really long time and almost impossible to think about yourself as a non-smoker. Does that capture, for you, some of the good things or things that are keeping you smoking?"
3805,Yeah.,So I'm hearing there are some things you really like about smoking. What about the other side? Can you tell me about some of the not-so-good things?
3806,Exactly.,"Sandra, can you give me an example of a time that you did something that you think left an impression on your daughter or set a bad example for her?"
3807,"Well, I-I'm worried about my children. I feel like I'm being a bad parent, and um, I often wonder, you know, they've seen me smoke for years. I certainly don't want my 12-year-old daughter to start smoking, and some of her friends are already smoking.","So this morning, that experience, it really brought home how she does watch you, and she does really look up to you and notice what you do. How did that feel when you looked up and saw her watching you?"
3808,"Yeah, just this morning, I was outside having a cigarette, and then when I looked up, there she was looking out the window watching me smoke.","And again, thanks for your honesty in talking about this. I appreciate that this is a- this is a tough topic. This is a-a hard behavior to think about giving up. Um, I guess one thing that- one thing that doesn't make sense to me is that, you know, on the one hand, you talk about how being a good parent is your highest priority, it's really important to you to set a good example for your daughter-"
3809,"I felt terrible, you know, I was projecting-- I wanna be a good parent, and I don't feel this really is part of the plan.","-um, and on the other hand, I'm hearing you say that smoking is important in terms of stress relief, socializing, and it's something you can't imagine ever changing. How do those two things fit together?"
3810,Mm-hmm.,"So what would it take for quitting or changing your smoking to be something that was more important, that raised it up in the list of priorities for you?"
3811,"It doesn't fit, you know. It's the opposite side of the coin. You know, I love to do it, but I don't think it's right.",Okay.
3812,I can't think of anything right now.,"So, it's-it's not so much that you don't wanna quit in a way, it's almost, ""How could I do it that would work for me?"""
3813,I don't have any plans to quit. It's just something I'm thinking about.,Okay. I appreciate. We've- we've probably used up the time that we have. I would love to see you next week if you'd be willing to schedule another appointment and talk with you more about this. Is that something that would be helpful?
3814,Exactly.,Okay. So I hear-- [crosstalk]
3815,"Oh, sure. Sure, I'll come in. Yeah.","[chuckles] Not necessarily the-the most exciting thing for you to do, but I appreciate you are willing to do that. Can I also ask you to do a little bit of homework between now and next week? I promise it's not too time-consuming. Um, we have a booklet that we like to give folks who are just thinking about changing, who aren't sure that this is something that they're ready to do, and one of the exercises is to write down your top three reasons for change, why you would even consider quitting smoking. And then to reflect on some of the good things as we talked about, as well as some of the less good things about quitting and about continuing to smoke. Is that something you'd be willing to do over the next few days?"
3816,We can talk about it some more.,"Okay, here you go."
3817,"Okay, okay, I'll give it a try.","So thanks for coming in, Sandra. We'll see you next week."
3818,Thank you.,"You decided to drink more than you intended because you were disappointed at how the Vikings were playing. And when your roommate couldn't give you a ride home, you decided to drive yourself home. Did I get that right?"
3819,"Uh, I guess that sound- that sounds right. I mean, I was- I was kinda drunk and it happened like a week ago. I just, I drove over to my friend's house, um, just to go watch the game and, you know, we're having a couple beers and next thing I know the Vikings are kind of losing pretty big. So we drank a little bit more than usual. And I mean, at the end I had to get home and I couldn't find a ride. So I-I just drove.","Yeah, I understand that your intention was to have a good time while watching the game with your friends. You didn't think about what could go wrong when you drank alcohol underage because you were at your friend's house and not a big party and you made an effort to be safe by finding a ride home."
3820,"Yeah. That's-that's exactly how it happened. I mean, I'm a normal college kid. I like to drink and hanging out with my buddies. I mean, I, it wasn't a big house party or anything and I got busted.","Dylan, you told me what brought you here today, what do you think the problem really is?"
3821,"Yeah. I tried to be safe. I mean, I tried to call her roommate, but I don't know, getting in trouble anyways.","Sounds like you attribute your current situation to bad luck. If that's what you believe and you don't attempt to make any change in your behavior, what consequences might result?"
3822,"Um, well, I wanna say I have a drinking problem. I think I'd probably have more of a, like getting caught problem. I mean, my friends, they-they drink like fishes and I-- they don't ever get caught and you got me over here and I get caught and they left.","How important is it that you avoid future problems with the police or school, Dylan?"
3823,I guess- I guess more problems with police and school and I really don't have like the time or the money for any of that.,Yeah. What would you be willing to do to prevent going to detox again and getting suspended?
3824,"God. It's, I guess, super important, because just-just going to detox alone was-was awful, the experience-- I don't want to do that again. And my dad said if I get suspended from school, um, I have to go- I have to go work on my uncle's farm in Iowa and that would just kill my social life. I won't see any of my friends and I mean, it's already bad enough, like my parents took my car away when I got the DUI.","On a scale of 1 to 10, how confident are you that you'll be able to follow through with that plan with 10 being very confident?"
3825,"Well, I guess I- I guess the easy one is I wouldn't- I wouldn't drink so much and I try to avoid situations where I'm more-more likely to get in trouble. So probably I don't wanna drink so much.",What steps could you take to move that six to a seven or eight?
3826,"Um, I guess I would say like, I don't know, like over halfway. So maybe like a six.","In what ways might your life be better if you succeed in 
making the changes you mentioned?"
3827,"I could probably, um, I don't know. I-I guess, well, the big thing would be like kind of where I drink so like drinking like if I'm only like in my apartment so thenI'm not risking myself to drive or like if I- if I go out to a party waiting till, like, I'm 21 to drink. Um, maybe find stuff to do that doesn't revolve around drinking, like, I'm guessing like a town this size there's got to be more to do than just drink.",College is all about making choices. Can you tell me about your beliefs and values that influenced your decision-making and how do those beliefs and values align with the decisions you plan to make about drinking?
3828,"Um, I mean, I guess the big one would be like I won't- I won't be hungover all the time like I would make it to my 8:00 AMs then, well, even-even when I make it to my 8:00 AMs now like I just, I sleep like I wake up I'm like, ""Oh my god what's going on?"" And then I get to my 8:00 AM and I'll just sleep through and then miss just about everything that's on the test. So I think if I- if I reprioritize what is important to me, I probably help me succeed. I mean, in high school, I had a 3.5 GPA. So I know I could do it here.",Thanks for coming in for participating today. Your sanction will involve being placed on university disciplinary probation and attending an alcohol education seminar that will cost $150.
3829,"Um, I mean education is really important to me and-and also my family. My parents are always talking about it and I really- I really wanna be an international journalist, to be on the news like, I mean, I have the face for it, um. So I guess if I reprioritize my- if I reprioritize what I need to do I and I won't drink so much. I probably wouldn't be disappointing my parents and I'd be able to get a really good education.","Good. Here, take a look, see what you think. And that feeling-"
3830,Okay.,"-and the color's okay? You know, there is quite a lot of staining so, um, I'm just wondering about, um, some concerns about smoking."
3831,Yeah.,Possibly-
3832,Oh.,"-coffee, tea. Yeah, you've heard this before, I'm sure."
3833,Gonna get that again.,"Mm-hmm. So, you know, the smoking is going to be related not just to some of the other negative consequences. You know, physically, it affects dental caries, dental cavities-"
3834,"I do all the above, yeah.","-um, healing-"
3835,Yeah.,-in your mouth.
3836,Yeah.,So--
3837,Okay. Sure.,"Yes, and I really want to be helpful. I really want to-- you know, my commitment is to your oral health, so um, there are lots of medications out there, David, that actually take away a lot of the cravings. They're-- they make quitting so much easier."
3838,I've heard it all. I-- but I just want to get my teeth fixed.,Mm-hmm. Yeah.
3839,"I did a pill thing, so I did try it. So like, I did try try it. I just did the pills and they didn't work.",".No, it-- but David, it's not a waste. Research shows that people take on average about seven tries before they quit smoking, so think of it as you're one step closer to quitting, so--"
3840,It was a waste and it caused more side effects,"Well, I don't think I'm giving you a lecture, that's certainly not what I meant. I--"
3841,Or seven lectures along the road.,"Well, there's-there's a reason that [crosstalk] people are concerned."
3842,"No. No, I just feel that way. I get really-- I get very defensive about when they bring-- cause I get it from my family doc, from my cardiologist, everybody. I'm like, I'm not a complete fool. I am for smoking, but—","No. But as I said, these medications-- so you've tried the medication, you've been willing once."
3843,-but it's not easy to quit.,"Then, can I write you a prescription for the medication? Can we talk about how you could use it? Because this is something that-that's very important. Not just for your overall physical health, for your oral health--"
3844,Yeah.,"Oh no, the smoking's going to cause you more problems than the-- than anything else. I can promise you that, David."
3845,I guess I got to really want to and-- things I've tried usually caused me more problems than they helped.,The side effects from the medications are nothing compared to what can happen from the smoking.
3846,Okay.,"Like, that's the, I think, thing to really consider."
3847,Mm-hmm.,"I'm-- okay, but you know--"
3848,"Okay. Well, can I go now?","Okay. Well thanks for listening, and honestly, I- I am really worried about the smoking, so--"
3849,"I-I-I know it, I know- I know, doc, what you're trying to-- but I just don't want to get into that right now.",I um--
3850,Okay.,"I'm here to help, okay?"
3851,I appreciate your care.,So--
3852,Okay.,"Yeah, I appreciate it. So, um, uh, your mom had given me a call and said that, um, um, there were some problems with kids kinda given you problems at school and being mean and things like that, and, uh, that's a hurtful thing."
3853,You're welcome.,"That's a- that's a lot of school to, yeah, and, you know--"
3854,Yeah. I stayed home two times already from school just 'cause of the bullying and everything.,People like to make up stories.
3855,"And as I was out of school like more rumors started to happen as I was out of school. I come back and like these rumors are going around about me. Like one time when I stayed home, supposedly, I was in the principal's office the whole day and I had security guards like escort me to classes which that was not true 'cause I was home the whole time.","For, like why do you think, wh-what kinds of-"
3856,I've been getting blamed ever since like fifth or sixth grade about with every single thing that's going on.,"So it's, uh, so when you were talking about like nagging on, tell me a little bit more about, can you give me an example of what you mean?"
3857,"I think because the kids-- 'cause I like to nag on things. Like when people tell me things, I like to like talk more like with the person instead of just leaving it be, and I think the kids that like blame me for everything say that I'm an easy target to like hit, to like talk about, it's like annoying.","And-and what happens when you don't leave it be, what usually happens?"
3858,"If somebody says like, ""Oh, I heard this thing about you."" I go, ""Oh, really, what is it,"" and I just keep talking and like make things worse. Like, if somebody says that they wanna beat me up, I like go on, and say like, ""Okay, then hit me,"" and like I just don't leave it be, like I just don't walk away. I like stay there and like talk more.",Okay.
3859,"I think possibly more like talking more like it gets like bigger and bigger. It's just like if you stop it, then they don't know what to say, they-they're like, ""Oh, like she's walking away."" And like that stops everything but like if I talk it-it keeps building up and we both get in trouble-",Okay.
3860,-and like called down to the principal's office.,"Okay, so and then what-what's it like for you after that, once you get spanked in the principal's office?"
3861,-and get talked to.,Mm-hmm.
3862,"Well, usually I try telling myself to just like, leave it be-",Mm-hmm.
3863,"-but if somebody says something about me, it gets me mad 'cause like what the heck, like you're talking about me so like I try to stop but sometimes I just say like a few words. Like I think now I'm trying to get like better.",That's pretty cool that you did that.
3864,"Like there's this one incident that somebody was talking to me, I just said like, ""Oh, wow, this is like really lame, like I'm just gonna leave,"" and I like let the conversation be.","You should be proud of yourself, and how did you do that?"
3865,Yeah. I felt proud of myself.,"Uh, that says a lot about you and your mom's relationship though that you can kind of put yourself in her head and think about how she would feel about it."
3866,"I was just like thinking of like when I'm- whenever I like I'm saying like stuff back, mom gets really mad at me, she's like, ""Well, I'm not gonna help you anymore."" 'Cause, she tells me to like leave it be, but I really don't lis-listen to her so she gets mad. So I tried like thinking of like her feelings and like what would happen after if I say, ""This is lame, leave me alone,"" 'cause then they'll like stop and I won't get like yelled at anymore.","You know what I mean? It's pretty cool, not everybody can do that, so. So you could kind of put yourself ahead, uh, it's almost like watching a movie ahead-"
3867,Yeah.,-and knowing how it's gonna turn out.
3868,Yeah.,"That's the worst, the silent treatment."
3869,"'Cause usually, if I get in trouble, mom gives me the silent treatment that I don't like. It's like she doesn't talk to me, I'm like trying to talk to her, she don't like wheezing being like, uh, I don't like it.","Yeah, so, um, so but that worked for you, where you just let it go, you thought about your mom, you like what we would call like, you channeled to your mom, you know, and, uh, channeling mom, and then, um, you were able to walk away, and you were proud of yourself and nothing bad happened."
3870,Yeah.,Is that right?
3871,Yeah.,Does it--
3872,Yeah.,"Yeah, so- and so when you- when somebody else told you that they or people said you that you're an easy target, um."
3873,"Like they all like stopped talking to me, and the funny thing was that their eighth-graders that like didn't even go to my old school like I don't even know how they said of talking to me, I was like, creepy.",Okay.
3874,"Well, they don't really say that to me like I just like think that 'cause that's what I've like heard from my mom, and people talking to me 'cause I keep talking to them-","Okay, so they-they kinda know how to hook you."
3875,-so they keep coming back at me.,-and reel you in-
3876,Mm-hmm.,"-right, and get you upset. And then bad things happen and then you get in trouble."
3877,Yeah.,"Yeah. So, yeah. And it's, uh-- So, um-- so you-you know that when you're kind of channeling your mom, that helps. It sounds like you taught yourself almost. Like there's-"
3878,Yeah. [chuckles] That happens a lot.,-a conversation inside. What other ideas do you have about what you could do?
3879,Yeah.,Mm-hmm.
3880,"I was thinking of like, um, if I'm like at school like a peep things are happening during class-",I don't know what pickleball is.
3881,"-I just say, can I use the washroom or something to go like walk and like think of like how to like leave them be. And one time during my gym class, there's this girl that I had her like not talking early. And we're playing pickleball, I don't know if you know that, it's like a-",It looks like a pickleball?
3882,"-it's like a badminton, big life-size ping pong ball game.",There's no pickle?
3883,"Yeah, you have like a big bracket—",Okay.
3884,No.,I wanted to pickle and stuff.
3885,"No, [chuckles] there's no pick.",That's a really good decision.
3886,"Mm-hmm. And like I was supposed to be like again turn. I told my-- I went to my gym teacher like silently and said I can't be by this person, can I move to the next court. So he like switched us around so I won't be by her. And that like happened.","Yeah. No, but how smart on your part to know that if you would- if you would had to play with her, something bad would've happened."
3887,The girls like what the heck like.,You knew that.
3888,Yeah. Like I would like smacked her in the face or some- [laughs],Right? You knew that. So-
3889,-or something.,So you know actually which kids-
3890,Yeah.,-know how to push your buttons that real you in.
3891,"Yeah, that's like—","That's okay. That's-- Yeah, 'cause it's not important. The important thing is for you to be happy. And, uh--"
3892,"Yeah, there's like four main ones but not that like I can say who.",Uh-huh.
3893,"And the friends that I have like I know are my true friends, They're like ones that don't really 'cause drama or like—",Uh-huh.
3894,"I mean, they might but like they're not like bad and they actually like help me. Like some of these girls that like so-called friends like-",Yeah.
3895,"-They're like they come to me saying like, ""Oh, did you really have to like punch this girl."" I'm like, ""No."" It's like you're not a friend if you'd actually believe that, you know what I mean?","Yeah. That's-- that-- it's-it's really big unknown territory. Pressure High School class is probably 1,000 kids."
3896,"Yeah, it's kind of annoying, 'cause it's kind of hard like going into high school and like knowing how to believe and who not to believe.","1,003 kids."
3897,"Yeah, 1,003.","2,000-"
3898,"And then there's the sophomores also that you have like another 1,000, so it's like—","-potential enemies, friends, who knows which ones."
3899,Yeah.,That must have been hard for you.
3900,"Yeah, with these like the first rumors had started going around about like my friend and I, and like I lost him just 'cause of rumors. It's like, what the heck. Like I couldn't get over him for like gosh, who knows, it was like three months and I finally just had got over him.",Yeah.
3901,Yeah.,"Mm-hmm. So but finally after three months, time went by-"
3902,"I was like really, you're probably just jealous 'cause I was friends with him or something.",-and you got--
3903,Yeah.,Okay. And so how else do you identify who your friends are that you can really trust who have your back?
3904,I just found like other people and just like forgot about it.,You trust her back then?
3905,"I say the ones that like not even that I've known the longest, but like the ones that actually hang out with me a lot, or like texting me a lot, or like calling. And the ones that are actually like that helped you before with like situations. And that they tell you stuff and they know they can trust you. Like one of my friends tells me everything about her. And like that's how I know she's a good friend 'cause she trusts me with things.","Okay. Well, that makes a lot of sense that people-- it goes both ways."
3906,Yeah.,"You know. And, um-- So and for you, friends that, um, kind of, um, give you the attention that you'd like to have. Texting you-"
3907,Mm-hmm.,"-calling and you hanging out with you, and stuff like that, rather than pretending to be a friend-"
3908,Yeah.,-when you know maybe they're gonna--
3909,Mm-hmm.,Mm-hmm.
3910,"Yeah, that happens a lot with me with like a lot of friends. Like this one person like we've been friends since like-- Well, we were friends since fourth grade.",Mm-hmm.
3911,"And like she just starts like lying and like just talking smack about me. And it's like, you're not a good friend then. Like I thought you were a friend since you've been my friend since our fourth grade.",Mm-hmm.
3912,"And she just like causes a lot of drama now. And like she came- Like the friends I met at high school, she came like into them like, you're not gonna know-- In college, you're not gonna know who to follow 'cause-- since you keep following with my friends, what are you gonna do in college like not being able to find your own friends? It's kind of annoying 'cause they're my friends and like I can't be by her and she comes to my friends. It's like-",Mm-hmm. Wh-what don't you like about her?
3913,"-get your own friends, [chuckles] stop following me.","Okay. So she sounds like she's, um--"
3914,She just lies a lot and like just starts dramas about me and I haven't even talked to her like since eight grade. We only went to school together and she just like makes me lose other friends 'cause of the drama she starts,Or-or not worth your time.
3915,A nobody. I'm gonna say that. She's like—,She's not worth your time. So what would it be like for you to really just spend time with the friends that you know are really--
3916,Yeah.,Good. That's really good. Yeah. And if-if you need like some extra support from them--
3917,I do spend time with them. Like I hang out with them a lot.,"Right, and what kind of things do you ask from them?"
3918,Ask for it. Yeah.,"'Cause they can do that. They can- they can kinda give you some, uh, information like, uh, um-- they can give some accurate information, um, and back up your story versus the other person's story."
3919,"I just ask them like if I'm like gonna get like sent down to the principal's office for like something happening, I call them to come down to, like, support my, like, backup information.","So, okay. So we're-- You know what? Um, it sounds like you actually have some pretty good ideas about, um, how to handle this, and yet kids are-- I know kids-- actually, adults can be really mean too. But, um, I know in high school, i-it's really bad."
3920,Yeah.,"So I'm wondering if, um, uh, if-if you wanted to, we could get together again and continue to talk 'cause you-you've got some good ideas already. And I'm very open that if you wanted to bring any of your good friends in, that that would also be totally cool too."
3921,Yeah.,So would that be something--
3922,Yeah.,Yeah.
3923,"Yeah, there's one friend that might wanna like talk about it.",Okay.
3924,"And she's really like-- she doesn't know, like, who to talk 'cause her mom is not always there for her.",Yeah.
3925,And so like she's like doesn't know where to go.,"Well, I would want this session though to be for you though, Molly."
3926,Like she doesn't know who to believe.,"I mean I'm willing to see her too, you know."
3927,Yeah.,It sounds like she really needs-- she'd like someone to listen to her.
3928,Yeah.,"Yeah. So, um, we could maybe talk about some other ways of, um, helping, uh, deal with this because, um, it does sound like, um, people are, you know, just being plain old mean to you for no good darn reason."
3929,Yeah.,"Yeah. And, um, so you'd be willing to come back and talk about it then? Okay. All right. And I just wanna let you know that I think that you're, um, really doing a good job of-of, uh, dealing with how hard it is to be in high school, 'cause it is hard."
3930,Mm-hmm.,It is.
3931,Yeah.,"Yeah. And it is hard, and-and I-I think it gets better. My experience was it got a little better. The freshman and sophomore year, you know."
3932,I've noticed that.,"But, um, anyway, I think you are hanging in there beautifully, and I love hearing that you're involved in swimming and some other things 'cause they must help connect you up with some pretty-- I would hope-"
3933,Mm-hmm.,"-[unintelligible 00:13:12] people. So okay, anything else? No? Okay. All right."
3934,Yeah.,Thank you.
3935,Mm-hmm.,"Okay, so you feel as if drinking is a problem for you at the moment?"
3936,"Uh, just I'm sick of my drinking. I'm drinking too much. Um, I just thought, uh, maybe I need someone to talk to, get some help about it.",Okay. Wh-What makes you say that it's gotten worse?
3937,"Yeah, it's just- it's just got worse over the last six months?",Okay.
3938,"Well, I guess, I drank, you know, like most people do before, um, but I broke up with my boyfriend, uh, about a year ago and then six months ago I guess I wanted to go out again and see if I can meet people.",Yes.
3939,"And I've been, yeah, getting into this habit of going out every Friday and Saturday, now, uh, drinking a lot.",Sure.
3940,"Um, to try to meet guys.","Okay, okay, so you've noticed over, I guess, uh, the last six months in particular since you decided, you know what? I'm going to take a risk and-a-and go out to try to meet a-a-a pot-potential partner again that it's with an increase in drinking."
3941,"And, uh, in the last few months I've been, you know, just drinking even more on week nights, and I never even used to do that before.",Okay.
3942,"Yeah. Well, I just, I don't feel comfortable talking to guys normally. [chuckles]","Sure, sure. So you're noticing that the drinking at the moment is a way of perhaps calming the nerves?"
3943,"I don't know what to say, um, and I just, drinking helps.",To-to-to speak to-to potential partners?
3944,"Yeah, for sure.","Who-who-who, boys?"
3945,"Yeah, definitely.",Okay.
3946,Yeah.,Okay.
3947,"I mean, I guess, like most people do when they go out they drink.",Sure.
3948,I've been doing that and just drinking more and more I guess.,"That's interesting isn't it? You-- 'cause you kind of mentioned it there, like, you know, on one side of the coin, um, it helps calm the nerves to get yourself get out there and-"
3949,"Um, and it's just-- it's not even working, I'm not really meeting people and I just end up with massive hangover for the rest of the weekend and—","-talk to guys at the same time, on the other side it's not working you're finding. And i-i-it results in hangovers or?"
3950,Yeah.,"Okay, and so I guess, you know, what would you like to do given the circumstances?"
3951,"Yeah, I mean, I've maybe talked to people but it's just, uh, that I've just I think I'm just too-too drunk and I just, my friends drive me home and just the end of the night I don't-- yeah.",Yeah.
3952,I guess I just wanna stop. I just feel like I'm drinking more and more 'cause I'm doing it now in the weekdays-,Okay.
3953,"-and I mean, I just don't-- I don't wanna do that every now and now I just think it's a bit too much.",Okay.
3954,"Yeah, I'm just I'm not eating properly anymore, I'm just eating less or just getting takeaway, getting crap food and-","Okay, okay, so, uh, sounds like you really want to stop drinking, particularly during the weekdays?"
3955,"-um, I'm just, I feel like I'm not exerc-- well I'm not exercising like I used to. So, I just wanna cut, you know, stop drinking so much.","Right, because you're noticing it's having a negative impact on what you're eating."
3956,Yeah. Yeah I do. Yeah.,"No, I get it. Yeah. I mean, you know, it sounds like it's, it is helpful to a degree for you when you go out because it makes you feel a little bit more calm to talk to-to guys is that right?"
3957,"Yeah. I don't wanna- I don't wanna, I mean, I don't wanna stop altogether, so.",Yeah.
3958,Yeah and just and all my friends go out and drink. Like I-,Yeah.
3959,-I'd have no social life if I didn't.,Sure.
3960,"If I just said-said, ""No, I'm not drinking at all,"" and, you know, I don't feel like I'm an alcoholic-","Yeah, yeah. So, you've got, you know, some benefits there then, you know. The social element, hanging with friends and-and going out together is something which is-is quite enjoyable. So, it's not a case of removing it completely but it’s a case of, ""Okay, I’m noticing this is impacting on me more than what I’d like to."" Yeah. Yeah, okay."
3961,-or I don't feel like I need to,Has there been times in the past where you’ve tried to cut back on drinking?
3962,"Yeah, it just got a bit out of control.","Oh, this is the first time anything like this has come up?"
3963,"No, this hasn’t happened before.","Yes, yes."
3964,"Um, due to just circumstance of, I mean, I just yeah, had my boyfriend for six years before that and-","Okay, yeah. Well, it’s great that you’re able to identify, you know, what’s going on at the moment and you've-- not only know that, you almost picked up on a bit of a pattern too you're in-"
3965,"Um, before that yeah just my friends weren't drinking so much, and yeah it’s just not, it's just new. Yeah.","-as to why you’re-you're drinking. In terms of looking at cutting back on-on drinking, you know, on a scale of 0 to 100 and 100, uh, meaning it’s tremendously important for you and 0 not important at all. How important is it for you to cut back on the drinking?"
3966,Mm-hmm.,"Okay, yeah yeah sure, you're already taking a huge step forward in many ways by coming along to-to start talking about it."
3967,"I believe 80, I mean I guess that’s why I’m here so—","Um, I guess 80 is quite high, what makes you say an 80 over say 50?"
3968,Yeah.,Okay.
3969,"Um, I don’t know, I just-just I don’t know, it just sort-- it just got up to a point where just, um, it seemed just too much, like no-nobody else is really drinking as much in the week as well and-","Okay, yes, so you’ve got this real sense of, ""I've gotta do something."""
3970,"-it seemed, as just, yeah, for the reasons I was saying, just seeing like I need to do something about it now.",That’s what it seems like.
3971,"Just seeing it’s just gonna get worse, uh, wha-- that’s what it seems like.","So, at the moment, it's been a case of the last six months, this is a pattern that you’ve been noticing more and more, um, a sign that it has had negative impacts on your lifestyle which you’re not happy with and you are in you're in a position where, you know what? I wanna do something about it."
3972,Yeah.,"Okay, I mean what do you think that next step is?"
3973,Yeah.,Yeah.
3974,"Um, I guess that’s why I’m here. [chuckles]",Okay.
3975,"Just to, uh, but um-- I is-is-- I think the weekdays is what I really need to do.",Okay.
3976,"Um, and then, I don’t know, try to plan it out a little bit more on the weekends-",-so it just doesn’t go crazy.
3977,"Yeah, yeah. Yep.","Okay, okay, so you’re thinking about perhaps looking at trying to keep weekdays free of alcohol? Was that what you were saying?"
3978,"No, that’s good, that’s-that's, yeah, that's- that is definitely what I’m gonna do.","Okay, how does that sound like a first step goal for you?"
3979,"I just, you know, I'm so out of the routine, not exercising, I need to get back into things.",Okay.
3980,"Yeah, but I mean, I guess, just talking about it makes me think oh yeah, I need to- I need to do something about it.","Okay, you sound really mad about it to-to turn it around."
3981,"Well, I've got myself all worked up now I've been sat outside.","Okay, oh, that-that's excellent, okay."
3982,"I'm not-- I'm now late. I'm sorry. Um, I've come to see you because I've got a really sore throat. It's been like this for a good few days, um, and I think I need some more antibiotics.",Okay.
3983,Ah.,"All right. Um, okay. Um, well let's, uh, let's just have a look shall we? See what's going on. You just wanna open your mouth for me. Say ah."
3984,"I've been sat here for half an hour. Do you not want to know a little bit more about it, or? I mean, it- it's really painful. I- I've barely been able to swallow today and I'm so worried about passing things on to the kids. Um—","Okay. Right. Uh, to be honest, you know, looking there, it just looks like one of those viruses that are going around at the moment that are causing these sore throats. So, uh, I think that we should just perhaps go for a bit of paracetamol and, uh, some fluids and let nature sort it out."
3985,"[sighs] Well, I mean, this is gonna affect my job. I talk on the phone quite a lot at work, and I'm just-- I don't think at the moment I'm going to be able to go to work. Can- can I, at least, get a sick note?","Well, I mean, I'm sorry we're a bit late, but you know that's the general practice, isn't it? You know, sometimes these things happen. Um, but it doesn't alter the fact that you do just have a virus, uh, and they are very common. And the nice thing is that it will get better with paracetamol and fluids, and the paracetamol will help the pain. Um, with giving it to the kids, I'm afraid there's nothing we can do about that. It's unlikely they'll get it, but I can't guarantee it."
